Batch Id,mlp_up_proj,mlp_activation,mlp_down_proj,mlp_down_proj_all_reduce,attn_pre_proj,attn_post_proj,attn_post_proj_all_reduce,attn_prefill,attn_kv_cache_save,attn_decode,attn_rope,pipeline_send_recv,add,input_layernorm,post_attention_layernorm,schedule,sample_e2e,prepare_inputs_e2e,model_execution_e2e,process_model_outputs,ray_comm_time,replica
427,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
432,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
438,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
443,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
448,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
455,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
460,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
465,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
471,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
477,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
482,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
488,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.075216,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,22.888289,0,0,0
503,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.090783,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,23.386446,0,0,0
517,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.104652,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,23.830240,0,0,0
534,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.119616,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,24.309103,0,0,0
548,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.135615,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,24.821072,0,0,0
562,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.148845,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,25.244404,0,0,0
575,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.166179,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,25.799105,0,0,0
587,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.180647,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,26.262088,0,0,0
599,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.192958,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,26.656041,0,0,0
611,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.208739,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,27.161025,0,0,0
625,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.222565,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,27.603462,0,0,0
636,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.232571,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,27.923663,0,0,0
650,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.248878,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,28.445485,0,0,0
663,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.260859,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,28.828865,0,0,0
676,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.270723,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,29.144517,0,0,0
688,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.286510,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,29.649705,0,0,0
701,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.296668,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,29.974766,0,0,0
713,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.307852,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,30.332640,0,0,0
724,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.321986,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,30.784942,0,0,0
735,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.329496,0.211820,0.043887,0.005994,0,0.008200,0.007000,0.007000,0,0,0,31.025242,0,0,0
745,0.168916,0.016868,0.073945,0,0.040133,0.027000,0,0.193436,0.008974,0.043887,0.004966,0,0.006000,0.006874,0.006874,0,0,0,19.035952,0,0,0
753,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.014490,0.050375,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.989570,0,0,0
755,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.014490,0.050375,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.989570,0,0,0
759,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.014490,0.050375,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.989570,0,0,0
763,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.014490,0.050375,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.989570,0,0,0
