Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica,__source__
55,42.616983,0.092847,17.447286,0.038012,17.447286,0.038012,0.0,25.169696,17.447286,0.038012,27.328536,0.000969,2.15884,7.7e-05,0.033308,0.758724,28672.0,28213.0,512.0,459.0,61.466231,0.0,28.23047,0,baseline
56,30.651393,0.312769,3.6763,0.037513,3.6763,0.037513,0.0,26.975094,3.6763,0.037513,27.713147,0.002399,0.738053,6.4e-05,0.029982,0.30709,11651.0,11553.0,512.0,98.0,117.887755,0.0,28.537561,0,baseline
57,28.244949,1.176873,0.986692,0.041112,0.986692,0.041112,0.0,27.258257,0.986692,0.041112,27.566762,0.005155,0.308505,5.8e-05,0.028258,0.420523,5372.0,5348.0,512.0,24.0,222.833333,0.0,28.958084,0,baseline
58,39.32384,0.110771,11.86201,0.033414,11.86201,0.033414,0.0,27.46183,11.86201,0.033414,27.62288,0.009652,0.161051,5.6e-05,0.03296,0.075293,3217.0,2862.0,512.0,355.0,8.061972,0.0,29.033377,0,baseline
59,41.801547,0.099291,14.266898,0.033888,14.266898,0.033888,0.0,27.534648,14.266898,0.033888,27.617941,0.0191,0.083292,5.8e-05,0.03369,0.060818,1867.0,1446.0,512.0,421.0,3.434679,0.0,29.094196,0,baseline
60,45.975428,0.088076,18.937718,0.036279,18.937718,0.036279,0.0,27.03771,18.937718,0.036279,27.986992,0.001918,0.949282,6.5e-05,0.034461,0.551917,15115.0,14593.0,512.0,522.0,27.955939,0.0,29.646113,0,baseline
61,40.833974,0.108891,13.201727,0.035205,13.201727,0.035205,0.0,27.632247,13.201727,0.035205,28.141368,0.003332,0.509122,6e-05,0.033847,0.318474,8822.0,8447.0,512.0,375.0,22.525333,0.0,29.964588,0,baseline
62,46.967608,0.087954,19.274582,0.036095,19.274582,0.036095,0.0,27.693026,19.274582,0.036095,28.597664,0.001986,0.904638,6.3e-05,0.034401,0.416476,14932.0,14398.0,512.0,534.0,26.962547,0.0,30.381064,0,baseline
63,29.671621,0.520555,1.834458,0.032183,1.834458,0.032183,0.0,27.837163,1.834458,0.032183,27.925238,0.019805,0.088075,6.2e-05,0.030638,0.724082,1467.0,1410.0,512.0,57.0,24.736842,0.0,31.105146,0,baseline
64,34.412553,0.193329,7.017016,0.039421,7.017016,0.039421,0.0,27.395536,7.017016,0.039421,28.715588,0.001421,1.320051,6.5e-05,0.032005,0.503543,20384.0,20206.0,512.0,178.0,113.516854,0.0,31.608689,0,baseline
65,34.857338,0.178756,6.544997,0.033564,6.544997,0.033564,0.0,28.312341,6.544997,0.033564,28.500672,0.007711,0.188331,5.1e-05,0.032598,0.403247,3891.0,3696.0,512.0,195.0,18.953846,0.0,32.011936,0,baseline
66,40.843706,0.111595,12.78123,0.034921,12.78123,0.034921,0.0,28.062475,12.78123,0.034921,28.223436,0.008923,0.160961,5.1e-05,0.034482,0.40959,3529.0,3163.0,512.0,366.0,8.642077,0.0,32.421526,0,baseline
67,30.381698,1.168527,2.367043,0.09104,2.367043,0.09104,0.0,28.014655,2.367043,0.09104,29.67457,0.001254,1.659915,7e-05,0.027197,0.181167,23681.0,23655.0,512.0,26.0,909.807692,0.0,32.602693,0,baseline
