batch_id,request_id,slo_type,slo_remaining_ms,only_in_queue,added_in_last_batch,request_type_after_batch,kv_context_len_tokens,prefill_len_tokens,prefill_remaining_tokens,replica
915,8,TBT,0,False,True,decode,11056,11010,0,0
920,0,TBT,0,False,True,decode,7440,7270,0,0
920,8,TBT,0,False,True,decode,11056,11010,0,0
925,0,TBT,0,False,True,decode,7440,7270,0,0
925,8,TBT,0,False,True,decode,11056,11010,0,0
930,0,TBT,0,False,True,decode,7456,7270,0,0
930,8,TBT,0,False,True,decode,11056,11010,0,0
935,0,TBT,0,False,True,decode,7456,7270,0,0
935,8,TBT,0,False,True,decode,11056,11010,0,0
940,0,TBT,0,False,True,decode,7456,7270,0,0
940,8,TBT,0,False,True,decode,11056,11010,0,0
946,0,TBT,0,False,True,decode,7456,7270,0,0
946,8,TBT,0,False,True,decode,11056,11010,0,0
952,0,TBT,0,False,True,decode,7456,7270,0,0
952,8,TBT,0,False,True,decode,11056,11010,0,0
956,0,TBT,0,False,True,decode,7456,7270,0,0
956,8,TBT,0,False,True,decode,11056,11010,0,0
961,0,TBT,0,False,True,decode,7456,7270,0,0
961,8,TBT,0,False,True,decode,11056,11010,0,0
967,0,TBT,0,False,True,decode,7456,7270,0,0
967,8,TBT,0,False,True,decode,11056,11010,0,0
967,16,TTFT,0,True,False,prefill,512,1427,915,0
972,0,TBT,0,False,True,decode,7456,7270,0,0
972,8,TBT,0,False,True,decode,11056,11010,0,0
972,16,TTFT,0,False,True,prefill,1008,1427,419,0
984,0,TBT,0,False,True,decode,7456,7270,0,0
984,8,TBT,0,False,True,decode,11056,11010,0,0
984,16,TBT,0,False,True,decode,1424,1427,0,0
993,0,TBT,0,False,True,decode,7456,7270,0,0
993,8,TBT,0,False,True,decode,11056,11010,0,0
993,16,TBT,0,False,True,decode,1424,1427,0,0
997,0,TBT,0,False,True,decode,7456,7270,0,0
997,8,TBT,0,False,True,decode,11056,11010,0,0
997,16,TBT,0,False,True,decode,1424,1427,0,0
1003,0,TBT,0,False,True,decode,7456,7270,0,0
1003,8,TBT,0,False,True,decode,11072,11010,0,0
1003,16,TBT,0,False,True,decode,1424,1427,0,0
1007,0,TBT,0,False,True,decode,7456,7270,0,0
1007,8,TBT,0,False,True,decode,11072,11010,0,0
1007,16,TBT,0,False,True,decode,1424,1427,0,0
1013,0,TBT,0,False,True,decode,7456,7270,0,0
1013,8,TBT,0,False,True,decode,11072,11010,0,0
1013,16,TBT,0,False,True,decode,1424,1427,0,0
1017,0,TBT,0,False,True,decode,7456,7270,0,0
1017,8,TBT,0,False,True,decode,11072,11010,0,0
1017,16,TBT,0,False,True,decode,1424,1427,0,0
1022,0,TBT,0,False,True,decode,7472,7270,0,0
1022,8,TBT,0,False,True,decode,11072,11010,0,0
1022,16,TBT,0,False,True,decode,1424,1427,0,0
1027,0,TBT,0,False,True,decode,7472,7270,0,0
1027,8,TBT,0,False,True,decode,11072,11010,0,0
1027,16,TBT,0,False,True,decode,1424,1427,0,0
1031,0,TBT,0,False,True,decode,7472,7270,0,0
1031,8,TBT,0,False,True,decode,11072,11010,0,0
1031,16,TBT,0,False,True,decode,1424,1427,0,0
1037,0,TBT,0,False,True,decode,7472,7270,0,0
1037,8,TBT,0,False,True,decode,11072,11010,0,0
1037,16,TBT,0,False,True,decode,1424,1427,0,0
1042,0,TBT,0,False,True,decode,7472,7270,0,0
1042,8,TBT,0,False,True,decode,11072,11010,0,0
1042,16,TBT,0,False,True,decode,1424,1427,0,0
1047,0,TBT,0,False,True,decode,7472,7270,0,0
1047,8,TBT,0,False,True,decode,11072,11010,0,0
1047,16,TBT,0,False,True,decode,1440,1427,0,0
1051,0,TBT,0,False,True,decode,7472,7270,0,0
1051,8,TBT,0,False,True,decode,11072,11010,0,0
1051,16,TBT,0,False,True,decode,1440,1427,0,0
1055,0,TBT,0,False,True,decode,7472,7270,0,0
1055,8,TBT,0,False,True,decode,11072,11010,0,0
1055,16,TBT,0,False,True,decode,1440,1427,0,0
1062,0,TBT,0,False,True,decode,7472,7270,0,0
1062,8,TBT,0,False,True,decode,11072,11010,0,0
1062,16,TBT,0,False,True,decode,1440,1427,0,0
1068,0,TBT,0,False,True,decode,7472,7270,0,0
1068,8,TBT,0,False,True,decode,11072,11010,0,0
1068,16,TBT,0,False,True,decode,1440,1427,0,0
1072,0,TBT,0,False,True,decode,7472,7270,0,0
1072,8,TBT,0,False,True,decode,11072,11010,0,0
1072,16,TBT,0,False,True,decode,1440,1427,0,0
1076,0,TBT,0,False,True,decode,7472,7270,0,0
1076,8,TBT,0,False,True,decode,11072,11010,0,0
1076,16,TBT,0,False,True,decode,1440,1427,0,0
1081,0,TBT,0,False,True,decode,7472,7270,0,0
1081,8,TBT,0,False,True,decode,11088,11010,0,0
1081,16,TBT,0,False,True,decode,1440,1427,0,0
1088,0,TBT,0,False,True,decode,7472,7270,0,0
1088,8,TBT,0,False,True,decode,11088,11010,0,0
1088,16,TBT,0,False,True,decode,1440,1427,0,0
1092,0,TBT,0,False,True,decode,7472,7270,0,0
1092,8,TBT,0,False,True,decode,11088,11010,0,0
1092,16,TBT,0,False,True,decode,1440,1427,0,0
1097,0,TBT,0,False,True,decode,7472,7270,0,0
1097,8,TBT,0,False,True,decode,11088,11010,0,0
1097,16,TBT,0,False,True,decode,1440,1427,0,0
1101,0,TBT,0,False,True,decode,7488,7270,0,0
1101,8,TBT,0,False,True,decode,11088,11010,0,0
1101,16,TBT,0,False,True,decode,1440,1427,0,0
1106,0,TBT,0,False,True,decode,7488,7270,0,0
1106,8,TBT,0,False,True,decode,11088,11010,0,0
1106,16,TBT,0,False,True,decode,1440,1427,0,0
1113,0,TBT,0,False,True,decode,7488,7270,0,0
1113,8,TBT,0,False,True,decode,11088,11010,0,0
1113,16,TBT,0,False,True,decode,1440,1427,0,0
1117,0,TBT,0,False,True,decode,7488,7270,0,0
1117,8,TBT,0,False,True,decode,11088,11010,0,0
1117,16,TBT,0,False,True,decode,1440,1427,0,0
1120,0,TBT,0,False,True,decode,7488,7270,0,0
1120,8,TBT,0,False,True,decode,11088,11010,0,0
1120,16,TBT,0,False,True,decode,1440,1427,0,0
1126,0,TBT,0,False,True,decode,7488,7270,0,0
1126,8,TBT,0,False,True,decode,11088,11010,0,0
1126,16,TBT,0,False,True,decode,1456,1427,0,0
1130,0,TBT,0,False,True,decode,7488,7270,0,0
1130,8,TBT,0,False,True,decode,11088,11010,0,0
1130,16,TBT,0,False,True,decode,1456,1427,0,0
1134,0,TBT,0,False,True,decode,7488,7270,0,0
1134,8,TBT,0,False,True,decode,11088,11010,0,0
1134,16,TBT,0,False,True,decode,1456,1427,0,0
1139,0,TBT,0,False,True,decode,7488,7270,0,0
1139,8,TBT,0,False,True,decode,11088,11010,0,0
1139,16,TBT,0,False,True,decode,1456,1427,0,0
1144,0,TBT,0,False,True,decode,7488,7270,0,0
1144,8,TBT,0,False,True,decode,11088,11010,0,0
1144,16,TBT,0,False,True,decode,1456,1427,0,0
1148,0,TBT,0,False,True,decode,7488,7270,0,0
1148,8,TBT,0,False,True,decode,11088,11010,0,0
1148,16,TBT,0,False,True,decode,1456,1427,0,0
1152,0,TBT,0,False,True,decode,7488,7270,0,0
1152,8,TBT,0,False,True,decode,11088,11010,0,0
1152,16,TBT,0,False,True,decode,1456,1427,0,0
1158,0,TBT,0,False,True,decode,7488,7270,0,0
1158,8,TBT,0,False,True,decode,11104,11010,0,0
1158,16,TBT,0,False,True,decode,1456,1427,0,0
1161,0,TBT,0,False,True,decode,7488,7270,0,0
1161,8,TBT,0,False,True,decode,11104,11010,0,0
1161,16,TBT,0,False,True,decode,1456,1427,0,0
1165,0,TBT,0,False,True,decode,7488,7270,0,0
1165,8,TBT,0,False,True,decode,11104,11010,0,0
1165,16,TBT,0,False,True,decode,1456,1427,0,0
